2022/10/1,13.1,
2022/11/1,5.5,
2022/12/1,3,
2023/1/1,6.1,
2023/2/1,5,
2023/3/1,7.4,
2023/4/1,9.2,
2023/5/1,16.4,
2023/6/1,17.3,
2023/7/1,20.4,
2023/8/1,19.5,
2023/9/1,16.1,
2023/10/1,11.7,
2023/11/1,7.6,
2023/12/1,8,
2024/1/1,4.9,
2024/2/1,6.4,
2024/3/1,7.7,
2024/4/1,10,
2024/5/1,13.5,
2024/6/1,16.1,
2024/7/1,20.2,
2024/8/1,19.1,
2024/9/1,16.6,
